id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
in-2bcea6d0d7d0242e,indeed,https://ng.indeed.com/viewjob?jk=2bcea6d0d7d0242e,http://ng.indeed.com/job/sales-executive-ethanol-co-production-2bcea6d0d7d0242e,Sales Executive (Ethanol / CO₂ production),The Future Edge,"Lagos, LA, NG",2025-08-13,fulltime,direct_data,yearly,3706608.0,4693392.0,USD,False,,,,,"**Job Title:** Sales Executive

**Location:** Lagos  
**Industry:** Ethanol / CO₂ Production  
**Employment Type:** Full\\-Time  
**Experience Level:** Minimum 5 years in Ethanol and/or CO₂ Industry

Budget: 300\\-400Kgross

**Job Summary**

We are seeking a results\\-driven **Sales Executive** with deep experience in the ethanol and/or CO₂ industry to drive revenue growth, strengthen customer relationships, and expand market share. The ideal candidate will act as the primary point of contact for customers, leveraging market intelligence to achieve sales targets while ensuring profitability and excellent customer service.

**Key Responsibilities**

* Serve as the primary liaison between the company and its customers, ensuring effective communication and service delivery.
* Identify and approach prospective customers, secure new business, and negotiate sales terms and agreements.
* Close sales deals, maintain long\\-term relationships with customers, and manage accounts for continued growth.
* Gather and analyze market intelligence, including competitor activities, customer insights, and industry trends.
* Stay informed on market pricing and developments to advise management and guide sales strategy.
* Address customer complaints promptly, resolve objections, and facilitate purchase decisions.
* Manage receivables efficiently to ensure timely payment recovery.
* Ensure margin preservation and contribute to overall profitability through strategic pricing and deal structuring.
* Consistently achieve sales targets and KPIs set by management.
* Prepare and deliver accurate weekly and monthly sales reports to track performance and market activities.

**Qualifications \\& Experience**

* Minimum of **5 years’ sales experience in the ethanol and/or CO₂ industry**.
* Proven track record of meeting or exceeding sales targets.
* Strong negotiation, relationship management, and problem\\-solving skills.
* Excellent understanding of market dynamics, pricing, and customer needs in the ethanol sector.
* Strong communication, presentation, and reporting abilities.
* Ability to work independently and travel as required to meet customers and prospects.
* Bachelor’s degree in Business, Marketing, Chemistry, Chemical Engineering, or a related field (an added advantage).

**Competencies**

* Industry knowledge (Ethanol/CO₂ production and applications)
* Sales strategy and execution
* Market intelligence and competitive analysis
* Customer relationship management
* Financial acumen to ensure margin maximization
* Proficiency in reporting and use of CRM/sales tools

Job Type: Full\\-time

Pay: ₦300,000\\.00 \\- ₦400,000\\.00 per month

Application Question(s):

* Do you have prior experience working with an (Ethanol and/or CO2 Industry.)? If yes, how many years?

Experience:

* Sales: 5 years (Required)
* Ethanol / C02 Industry : 1 year (Required)",,https://ng.indeed.com/cmp/The-Future-Edge,,,,,,,,,,,,
in-196e984b13ee2e2d,indeed,https://ng.indeed.com/viewjob?jk=196e984b13ee2e2d,http://ng.indeed.com/job/quality-health-and-safety-officer-196e984b13ee2e2d,"Quality, Health and Safety Officer",Bayshore Technologies,"Lagos, LA, NG",2025-08-13,fulltime,direct_data,yearly,2912335.0,3687665.0,USD,False,,,,,"* Ensuring operations are conducted in a safe and efficient manner and in conformance to federal, provincial and company safety regulations by integrating and implementing company and third\\-party QHSE policies and procedures.
* Performs post\\-incident investigations and communicates with the Manager and others until all action items have been closed.
* File QHSE documents and participate in job risk analysis and continual improvement.
* Compile safety programs and ensure conformance to safe work practices by all employees.
* Preparation of all the required safety documents (Risk Assessment, Method Statement, etc.) for work permits at the client location
* Implement and maintain health and safety standards to mitigate hazards at both site and workplace.
* Identify and develop relevant training programs for all employees.
* Keep all safety records for all site engagements and offices.
* Recommend appropriate protective equipment for all employees and keep records of the PPEs allocation.
* Supervise the activities of all the Safety Officers that will be on\\-site.
* Maintain compliance with all safety regulations.
* Planning of monthly safety drills.
* Review existing safety policies and update them where necessary
* Assess possible risks and ensure that preventive measures are taken.
* Regularly inspect all tools and equipment and keep records of the maintenance activities on them.
* Ensures Quality compliance for all activities at the office and on\\-site.
* Make sure that the company supports safe work practices and complies with the law.
* Help the company develop HSE strategies and plans.
* List all workplace accidents and incidents for reporting and statistical purposes.
* Keep up to date with H\\&S legislation that will affect the company.
* Help write management reports, including bulletins and newsletters.
* Make sure that all equipment is installed and operated safely.
* A graduate Degree in Environmental Studies, Sustainability, or related courses.

Experience:

* At least 3 \\- 4 years of proven work experience in industrial and occupational safety
* Sound knowledge of HSE laws and best practices
* Certification in safety (GHSE, NEBOSH, OSHA ) or professional membership is an added advantage.

Key Skills \\& Competencies:

* Advanced knowledge of risk assessment and hazard identification
* Superior knowledge of PPE usage and handling, work at height, hot work, hoisting, and confined space procedures
* MS Office proficiency – Words / Excel / PowerPoint / Outlook / Projects.
* Organization and time management skills.
* Exceptional interpersonal and customer service skills.
* Highly motivated, proactive and target\\-driven.
* Creative and innovative.
* Confident and assertive.
* Excellent communication and presentation skills.
* Ability to work effectively in a team.
* Ability to deliver quality service always.
* Strong analytical and logical problem\\-solving abilities.
* Energetic, independent, and self\\-driven.

Willing to travel locally and internationally.

Job Type: Full\\-time

Pay: ₦250,000\\.00 \\- ₦300,000\\.00 per month",,https://ng.indeed.com/cmp/Bayshore-Technologies-2,,,,,,,,,,,,
in-357f94bc4fb7182a,indeed,https://ng.indeed.com/viewjob?jk=357f94bc4fb7182a,http://ng.indeed.com/job/accountant-357f94bc4fb7182a,Accountant,YELLOW DOOR APARTMENT,"Abuja, FC, NG",2025-08-13,fulltime,direct_data,yearly,2647577.0,3352422.0,USD,False,,,,,"**Job Title:** Accountant (Hospitality Experience Required)  
**Location:** YellowDoor Hotels, Wuse 2, Abuja  
**Employment Type:** Full\\-Time

**About Us**  
At YellowDoor Hotels, we believe that great hospitality starts with strong financial management. We are seeking a detail\\-oriented and experienced Accountant with a background in the hospitality industry to manage our finances, ensure compliance, and provide clear insights that guide our business decisions.

**Job Summary**  
As our Accountant, you will oversee daily financial operations, track expenses, and prepare accurate financial reports. You will work closely with management to ensure budgets are maintained, costs are controlled, and all accounting activities meet legal and company standards.

**Key Responsibilities**

* Maintain accurate financial records, ledgers, and statements
* Prepare daily, weekly, and monthly financial reports for management
* Track revenues, expenses, and cash flow across hotel operations
* Process payments, invoices, and payroll in a timely manner
* Reconcile bank statements and manage petty cash accounts
* Ensure compliance with tax laws, regulatory requirements, and internal policies
* Monitor cost controls and highlight areas for savings and efficiency
* Collaborate with department heads to prepare budgets and forecasts
* Manage end\\-of\\-month and year\\-end closing processes
* Liaise with auditors, suppliers, and regulatory bodies as needed

**Requirements**

* Proven experience as an Accountant, preferably in the hospitality industry
* Strong knowledge of accounting principles, financial reporting, and tax regulations
* Proficiency in accounting software (e.g., QuickBooks, Sage, or similar) and Google Sheet.
* Excellent attention to detail, organization, and analytical skills
* Ability to work independently and meet tight deadlines
* Strong communication skills for liaising with both internal teams and external partners
* BSc in Accounting, Finance, or related field (ICAN or ACCA certification is an advantage)

**How to Apply**  
Apply directly on Indeed.

Job Type: Full\\-time

Pay: ₦200,000\\.00 \\- ₦300,000\\.00 per month

Location:

* Abuja (Required)",,https://ng.indeed.com/cmp/Yellow-Door-Apartment,,,,,,,,,,,,
in-2f0fe335c07a586d,indeed,https://ng.indeed.com/viewjob?jk=2f0fe335c07a586d,http://ng.indeed.com/job/ipp-operator-2f0fe335c07a586d,IPP OPERATOR,Bayshore Technologies,"Kano, KN, NG",2025-08-13,fulltime,,,,,,False,,,,,"**Position Overview:**

The IPP Operator is responsible for the safe and efficient operation of the Independent Power Producer (IPP) facilities, including monitoring, maintaining, and controlling the power production process. This position ensures that the plant operates within its operational and regulatory guidelines while maximizing efficiency, reducing downtime, and ensuring safety compliance.

**Key Responsibilities:**

* **Monitor Operations**: Operate and monitor power plant equipment, such as turbines, generators, boilers, and associated systems to ensure optimal performance.
* **System Control**: Use computerized control systems to track parameters, manage loads, and troubleshoot issues in real\\-time.
* **Preventive and Corrective Maintenance**: Conduct routine checks and maintenance on equipment to prevent malfunction. Perform troubleshooting and repairs as necessary.
* **Compliance**: Ensure that all operations meet industry standards, safety regulations, and environmental laws. Assist with compliance reporting and inspections.
* **Emergency Response**: Respond promptly and effectively to any operational issues, including plant shutdowns, malfunctions, or emergencies. Troubleshoot and resolve technical problems to minimize downtime.
* **Record Keeping**: Maintain accurate logs and reports of daily operations, maintenance activities, and incident reports. Monitor fuel consumption, power output, and operational efficiency.
* **Coordination**: Work closely with other plant personnel, including technicians, engineers, and maintenance staff, to ensure smooth and coordinated operations.
* **Performance Optimization**: Continuously monitor plant performance and suggest improvements to increase output, reduce waste, and enhance overall system reliability.
* **Safety**: Adhere to and enforce safety policies and protocols, ensuring a safe working environment for all team members. Perform safety audits as needed.
* **Training and Development**: Participate in training programs and skill development opportunities to stay current with technological advancements and regulatory changes.

**Qualifications:**

* **Education**:
* Bachelor’s degree in Electrical, Mechanical, or Power Engineering is preferred.
* **Experience**:
* 2\\-4 years of experience in a similar power plant operation or related industrial field.
* Experience with turbine operations, generators, and auxiliary systems is an advantage.
* **Soft Skills**:
* Strong problem\\-solving abilities.
* Excellent communication skills.
* Ability to work under pressure in a fast\\-paced environment.

**Physical Requirement:**

* Willingness to work in rotating shifts or on\\-call schedules, including nights, weekends, and holidays.

Job Type: Full\\-time",,https://ng.indeed.com/cmp/Bayshore-Technologies-2,,,,,,,,,,,,
in-23f635f803840aca,indeed,https://ng.indeed.com/viewjob?jk=23f635f803840aca,http://ng.indeed.com/job/waitersales-representative-23f635f803840aca,Waiter/Sales Representative,Jollofsquare,"Ibadan, OY, NG",2025-08-13,fulltime,direct_data,yearly,635418.0,804581.0,USD,False,,,,,"**Job Title:** Sales Representative / Waiter

**Location:** Ibadan, Oyo State  
**Employment Type:** Full\\-time

**Key Responsibilities**

* Welcome customers warmly and take their orders at the counter or table.
* Provide menu information, make recommendations, and promote add\\-ons to boost sales.
* Serve meals quickly and accurately from pre\\-prepared central kitchen stock.
* Package take\\-away and delivery orders neatly and correctly.
* Handle cash, card, and transfer payments accurately.
* Maintain cleanliness and orderliness in the dining, service, and counter areas.
* Monitor stock levels in the service area and request replenishment when needed.
* Address customer questions, requests, and complaints professionally, escalating when necessary.
* Keep accurate daily sales records.

**Requirements \\& Qualifications**

* Minimum of OND/NCE
* Previous experience in food service, retail sales, or customer service is an advantage (training provided).
* Strong communication and interpersonal skills.
* Friendly, courteous, and customer\\-focused personality.
* Ability to multitask in a fast\\-paced environment.
* Honest, reliable, and punctual.
* Basic numeracy skills.
* Must live within or near **Agbowo, Mokola, Sango or Ashi/Bodija/Bashorun**

**Working Hours**

* Shift\\-based schedule (morning and evening shifts)
* Includes weekends and public holidays.

**Salary \\& Benefits**

* **₦60,000 per month** plus performance bonuses.
* Free staff meal during shifts.
* On\\-the\\-job training and career growth opportunities.
* Supportive, team\\-oriented work environment.

Job Types: Full\\-time, Permanent

Pay: ₦60,000\\.00 per month

Application Question(s):

* Where do you live in Ibadan?

Application Deadline: 25/08/2025",,https://ng.indeed.com/cmp/Jollofsquare,,,,,,,,,,,,
in-43e60334a2c1ac97,indeed,https://ng.indeed.com/viewjob?jk=43e60334a2c1ac97,http://ng.indeed.com/job/marketers-43e60334a2c1ac97,Marketers,Panthera Restarant,"Abuja, FC, NG",2025-08-13,fulltime,,,,,,False,,,,,"A marketer is responsible for working with other marketing staff to develop unique campaign ideas to market a company’s products, services or overall brand identity. Their duties include completing market research to identify target audience demographics or reviewing previously successful marketing campaigns, working as part of a team to accomplish tasks by set deadlines and making adjustments throughout marketing campaigns to achieve better engagement from consumers.

* Collaborating with sales, marketing, advertising, product design and product development team members to planning promotional marketing campaigns
* Creating editorial and content creation calendars for various media platforms and outlets
* Assisting with the design, negotiation and placement of billboards, traditional media ads on TV and radio, social media ads and email blasts
* Producing a brand style guide that best captures the company or client’s voice and mission
* Helping team leads set, allocate and monitor the budget of each project
* Meeting with clients to discuss brand guidelines, goals, budget and timelines
* Conducting market research to determine a target audience’s needs, wants, habits, interests and other relevant factors used in creating targeted marketing campaigns
* Researching previous successful campaigns to understand what worked, what didn’t and what can be improved
* Reviewing the progress and success of a campaign, making adjustments or pitching ideas for new campaigns as necessary

Job Type: Full\\-time",,https://ng.indeed.com/cmp/Panthera-Restarant,,,,,,,,,,,,
in-9d3c8f9bd0c72400,indeed,https://ng.indeed.com/viewjob?jk=9d3c8f9bd0c72400,http://ng.indeed.com/job/procurement-officer-9d3c8f9bd0c72400,Procurement Officer,Panthera Restarant,"Abuja, FC, NG",2025-08-13,fulltime,,,,,,False,,,,,"A procurement officer is responsible for sourcing, purchasing, and managing goods and services for an organization, ensuring they are obtained at the best possible price, quality, and delivery timeframe. They manage relationships with suppliers, negotiate contracts, and maintain purchase record.

Responsibilities:

* Develop and implement procurement strategies to optimize sourcing and supplier selection processes.
* Identify potential suppliers, conduct supplier evaluations, and negotiate contracts and pricing terms.
* Manage vendor relationships and monitor supplier performance to ensure compliance with contractual agreements and quality standards.
* Coordinate with internal stakeholders, such as production, finance, and operations, to align procurement activities with business needs.
* Maintain accurate records of procurement transactions, contracts, and vendor information.
* Monitor inventory levels and forecast demand to ensure adequate stock levels while minimizing carrying costs.
* Stay abreast of market trends, industry developments, and regulatory requirements to inform procurement decisions.
* Identify opportunities for cost savings and process improvements within the procurement function.

Qualifications and Requirements:

* Bachelor's degree in Business Administration, Supply Chain Management, or related field.
* 3\\+ years of experience in procurement or supply chain roles.
* Strong negotiation and contract management skills.
* Excellent communication and interpersonal abilities.
* Proficiency in procurement software and Microsoft Office Suite.
* Analytical thinking and problem\\-solving skills.
* Ability to work independently and as part of a team

Job Type: Full\\-time",,https://ng.indeed.com/cmp/Panthera-Restarant,,,,,,,,,,,,
in-34bf215d9d036e42,indeed,https://ng.indeed.com/viewjob?jk=34bf215d9d036e42,http://ng.indeed.com/job/marketing-associate-lagos-mainland-34bf215d9d036e42,Marketing Associate (Lagos Mainland),Kennedia Consulting,"Lagos, LA, NG",2025-08-13,fulltime,,,,,,False,,,,,"We're hiring!!!

**Job Title:** Marketing Associate (Lagos Mainland)

**Location:** Lagos Mainland

**Employment Type:** Full\\-Time

**Salary:** ₦225,000 Net Monthly

**Benefits:** HMO, Pension, 13th Month Salary, Commission

**About the Role:**

We are seeking a passionate and results\\-driven Marketing Associate to join our dynamic team on the Lagos Mainland. This individual will be responsible for executing strategic marketing campaigns, driving customer acquisition, and enhancing brand visibility. The ideal candidate must be confident, persuasive, and committed to delivering results.

**Key Responsibilities:**

* Identify and target potential customers through various marketing channels
* Promote company products/services to existing and new clients
* Build and maintain strong client relationships
* Plan and execute marketing strategies to meet sales targets
* Conduct market research and competitor analysis
* Report on marketing activities and outcomes weekly
* Collaborate with internal teams to improve customer experience and product visibility

**Requirements:**

* B.Sc./HND in Marketing, Business Administration, or related field
* 1–2 years of proven experience in sales or marketing
* Strong communication and negotiation skills
* Must be goal\\-oriented and target\\-driven
* Ability to work independently and as part of a team
* Proficiency in Microsoft Office and CRM tools is an added advantage

**Applications:** https://kennediajobs.com/apply?valid\\=Njkw

Job Type: Full\\-time",,https://ng.indeed.com/cmp/Kennedia-Consulting,,,,,,,,,,,,
in-0cf5eae2d0ecd87e,indeed,https://ng.indeed.com/viewjob?jk=0cf5eae2d0ecd87e,http://ng.indeed.com/job/audit-lead-0cf5eae2d0ecd87e,Audit Lead,The Future Edge,"Lagos, LA, NG",2025-08-13,fulltime,direct_data,yearly,3971365.0,5028634.0,USD,False,,,,,"**Job title: Audit Lead (Manufacturing)**

**Industry: Manufacturing**

**Location: Ikorodu Lagos.**

**Work mode: Onsite**

**Salary budget: 350K\\-400Kgross**

**Role Description:** Our client, a group of company into plastic manufacturing and recycling company is currently seeking an experienced Audit Lead to join our PET recycling company in Ikorodu, Lagos. The successful candidate will be responsible for leading internal audits, ensuring compliance with regulatory requirements, and identifying areas for improvement in our operations.

Key Responsibilities:

\\- Lead internal audits to ensure compliance with regulatory requirements, industry standards, and company policies

\\- Develop and implement audit plans, procedures, and schedules

\\- Conduct risk assessments and identify areas for improvement

\\- Collaborate with cross\\-functional teams to implement audit recommendations and improvements

\\- Prepare and present audit reports to management

Competencies:

\\- Audit and Compliance: Strong knowledge of audit principles, regulatory requirements, and industry standards

\\- Risk Management: Ability to identify and assess risks, and develop mitigation strategies

\\- Analytical and Problem\\-Solving Skills: Strong analytical and problem\\-solving skills, with the ability to identify areas for improvement

\\- Communication and Collaboration: Excellent communication and collaboration skills, with the ability to work with cross\\-functional teams

\\- Leadership: Ability to lead and manage audit projects and teams

Qualifications:

\\- Education: Bachelor's degree in Accounting, Auditing, or related field

\\- Professional Certification: ACA, ACCA, or other relevant professional certification

\\- Experience: Not more than 5 years of experience in auditing, preferably in a manufacturing or recycling environment

\\- Skills: Strong knowledge of audit software and tools, with excellent analytical and problem\\-solving skills

Job Type: Full\\-time

Pay: ₦350,000\\.00 \\- ₦400,000\\.00 per month

Application Question(s):

* This role location is in Ikorodu, Are you reliable to commute to this location?

Experience:

* Accounting: 5 years (Required)
* Audit \\& Compliance: 5 years (Required)
* Manufacturing/recycling: 2 years (Required)",,https://ng.indeed.com/cmp/The-Future-Edge,,,,,,,,,,,,
in-1fd9f4001f3c2119,indeed,https://ng.indeed.com/viewjob?jk=1fd9f4001f3c2119,http://ng.indeed.com/job/fullstack-engineer-1fd9f4001f3c2119,Fullstack Engineer,OptimumFoodie,"Lagos, LA, NG",2025-08-13,fulltime,direct_data,yearly,3177092.0,4022907.0,USD,False,,,,careers@elvaridah.com,"Full Stack Engineer (Fintech)

Location:

Maryland, Lagos

ABOUT THE COMPANY:

Our client is a forward\\-thinking financial technology (fintech) company dedicated to redefining how individuals

and businesses manage, move, and grow their money. Leveraging technology, innovation, and data\\-driven

insights, the company provides secure, scalable, and user\\-friendly digital financial solutions tailored to today’s

fast\\-paced economy.

With a strong commitment to financial inclusion and digital transformation, our client offers a suite of services

including payments processing, digital banking, lending, savings, and investment platforms. Their goal is to

simplify financial services and make them more accessible, especially within emerging markets.

JOB SUMMARY

We are seeking an experienced and forward\\-thinking Full Stack Engineer to lead the company’s technical

execution across backend systems, mobile integrations, and core service architecture. You will manage a

growing team of engineers, oversee API development, coordinate infrastructure scaling on Google Cloud

Platform (GCP), and ensure cross\\-functional collaboration with Product, Finance, and Customer Success

teams.

This role is vital as we consolidate our in\\-house backend, integrate core financial logic, and prepare for public

launch and investor readiness.

Key Responsibilities

Team Leadership \\& Execution

 Lead the engineering team to deliver on backend and mobile milestones.

 Guide the transition from Firebase test architecture to the in\\-house Django\\-based backend hosted on

GCP.

 Own and enforce the weekly sprint process with the product team; drive performance tracking and

accountability.

 Collaborate with product managers to align tech execution with feature roadmap and revenue

priorities.

Architecture \\& Technical Oversight

 Ensure continued rollout and optimization of 36\\+ backend APIs needed to power mobile flows, user

journeys, and admin systems.

 Manage infrastructure reliability, security, and scalability (including serverless GCP services).

 Work with the compliance and legal team to integrate KYC, data privacy, and consent logic as part of

system workflows.

 Oversee real\\-time event triggers for features such as rent due reminders, WhatsApp notifications, and

repayment alerts.

Cross\\-Functional Alignment

 Collaborate with the finance team on implementing business rules around rent support disbursement,

repayment logic, and edge\\-case financial scenarios.

 Work closely with marketing and growth teams to ensure APIs and backend processes support user

acquisition efforts and retail integration (e.g., Company supermarket logic).

 Support QA engineers in improving system testing, performance benchmarks, and bug resolution

cycles.

Requirements

 3’\\+ years of experience in backend development or software engineering, with at least 2 years in a

technical leadership or engineering management role.

 Strong command of React\\-native and Python/Django, CSS \\& GCP (serverless \\+ App Engine), API

development, and mobile integration principles.

 Proven track record of delivering scalable and secure fintech, proptech, or SaaS applications.

 Experience working in cross\\-functional teams with product, marketing, finance, and operations.

How to Apply: Interested and qualified candidates should send their CVs to careers@elvaridah.com using the job title as the subject of the mail.

Job Type: Full\\-time

Pay: ₦300,000\\.00 per month",,https://ng.indeed.com/cmp/Optimumfoodie,,,,,,,,,,,,
